iter	Passed	Remaining
401	23350	34735
402	23410	34679
403	23451	34596
404	23506	34533
405	23550	34455
406	23617	34411
407	23677	34356
408	23732	34293
409	23796	34243
410	23886	34232
411	23944	34172
412	24012	34128
413	24075	34077
414	24125	34008
415	24171	33933
416	24235	33883
417	24295	33828
418	24352	33768
419	24414	33715
420	24543	33754
421	24642	33751
422	24752	33764
423	24808	33702
424	24879	33661
425	24963	33636
426	25037	33598
427	25111	33560
428	25190	33529
429	25259	33483
430	25330	33441
431	25399	33395
432	25458	33336
433	25543	33312
434	25682	33357
435	25759	33321
436	25869	33329
437	25943	33287
438	26004	33231
439	26058	33165
440	26152	33150
441	26219	33101
442	26290	33056
443	26364	33015
444	26439	32974
445	26511	32931
446	26528	32819
447	26546	32709
448	26560	32594
449	26577	32483
450	26592	32370
451	26605	32256
452	26621	32145
453	26638	32036
454	26652	31924
455	26670	31817
456	26690	31712
457	26749	31655
458	26831	31624
459	26903	31581
460	26973	31537
461	27033	31480
462	27117	31451
463	27207	31429
464	27286	31394
465	27438	31442
466	27540	31432
467	27606	31381
468	27667	31324
469	27714	31252
470	27770	31190
471	27822	31123
472	27893	31077
473	28038	31114
474	28118	31078
475	28195	31039
476	28281	31008
477	28371	30982
478	28443	30937
479	28497	30871
480	28572	30829
481	28650	30790
482	28710	30731
483	28822	30728
484	28905	30693
485	28958	30626
486	29027	30577
487	29112	30544
488	29174	30486
489	29188	30379
490	29210	30281
491	29229	30180
492	29247	30078
493	29278	29990
494	29352	29945
495	29441	29916
496	29528	29885
497	29607	29845
498	29672	29791
499	29747	29747
500	29849	29730
501	29928	29689
502	30018	29660
503	30109	29631
504	30204	29605
505	30278	29560
506	30336	29498
507	30422	29464
508	30466	29388
509	30539	29341
510	30619	29300
511	30712	29272
512	30807	29246
513	30903	29220
514	30961	29158
515	31038	29113
516	31099	29054
517	31159	28994
518	31239	28952
519	31309	28900
520	31372	28843
521	31446	28795
522	31525	28752
523	31599	28704
524	31655	28640
525	31725	28589
526	31787	28530
527	31856	28477
528	31909	28411
529	31976	28356
530	32051	28308
531	32118	28254
532	32206	28218
533	32286	28175
534	32356	28122
535	32433	28076
536	32562	28075
537	32650	28038
538	32737	28000
539	32804	27944
540	32856	27876
541	32918	27817
542	32996	27770
543	33058	27710
544	33124	27654
545	33209	27613
546	33292	27571
547	33368	27523
548	33434	27466
549	33506	27414
550	33594	27375
551	33679	27333
552	33750	27281
553	33820	27227
554	33891	27173
555	33954	27114
556	34043	27076
557	34126	27032
558	34206	26986
559	34294	26945
560	34351	26881
561	34412	26819
562	34477	26761
563	34539	26700
564	34616	26652
565	34693	26602
566	34755	26541
567	34825	26487
568	34905	26440
569	34977	26386
570	35092	26365
571	35160	26309
572	35186	26220
573	35206	26128
574	35227	26038
575	35245	25944
576	35266	25853
577	35289	25764
578	35309	25674
579	35333	25586
580	35357	25498
581	35378	25409
582	35399	25320
583	35418	25229
584	35440	25141
585	35465	25055
586	35486	24967
587	35507	24879
588	35528	24791
589	35549	24703
590	35569	24615
591	35591	24529
592	35614	24443
593	35638	24358
594	35661	24273
595	35682	24187
596	35704598	35731	23920
599	35807	23871
600	35933	23856
601	36008	23805
602	36072	23749
603	36157	23705
604	36224	23651
605	36311	23608
606	36357	23539
607	36424	23484
608	36488	23426
609	36563	23376
610	36611	23309
611	36703	23269
612	36771	23214
613	36836	23157
614	36912	23107
615	36979	23051
616	37037	22990
617	37118	22943
618	37183	22886
619	37235	22821
620	37304	22767
621	37370	22710
622	37480	22680
623	37566	22636
624	37633	22579
625	37736	22545
626	37799	22486
627	37876	22436
628	37953	22386
629	38020	22329
630	38087	22273
631	38165	22222
632	38229	22164
633	38309	22115
634	38374	22057
635	38432	21996
636	38516	21949
637	38585	21893
638	38648	21834
639	38744	21793
640	38818	21740
641	38921	21703
642	39009	21658
643	39074	21600
644	39135	21539
645	39225	21495
646	39315	21450
647	39387	21395
648	39457	21339
649	39527	21284
650	39602	21231
651	39684	21181
652	39767	21132
653	39853	21084
654	39870	21000
655	39892	20919
656	39913	20837
657	39932	20755
658	39953	20674
659	40002	20607
660	40081	20556
661	40144	20661	662	40216	20662	663	40288	20386
664	40356	20329
665	40431	20276
666	40515	20227
667	40572	20164
668	40641	20107
669	40729	20060
670	40809	20009
671	40894	19960
672	40965	19904
673	41035	19848
674	41109	19793
675	41189	19741
676	41271	19690
677	41351	19638
678	41418	19580
679	41487	19523
680	41542	19459
681	41620	19406
682	41694	19351
683	41759	19292
684	41821	19231
685	41878	19168
686	41942	19109
687	42018	19055
688	42084	18995
689	42160	18941
690	42227	18883
691	42295	18825
692	42359	18765
693	42421	18704
694	42488	18646
695	42621	18616
696	42695	18560
697	42777	18508
698	42860	18456
699	42914	18391
700	42997	18339
701	43058	18278
702	43134	18223
703	43221	18172
704	43301	18119
705	43378	18064
706	43439	18002
707	43536	17955
708	43690	17932
709	43864	17916
710	43948	17863
711	44078	17829
712	44261	17816
713	44332	17757
714	44456	17720
715	44537	17665
716	44683	17636
717	44773	17585
718	44865	17534
719	44967	17487
720	45030	17425
721	45108	17368
722	45185	17311
723	45227	17241
724	45284	17176
725	45355	17117
726	45450	17067
727	45529	17011
728	45589	16947
729	45645	16882
730	45698	16816
731	45770	16757
732	45822	16691
733	45895	16632
734	45969	16574
735	46052	16518
736	46145	16467
737	46226	16410
738	46309	16355
739	46388	16298
740	46449	16235
741	46519	16175
742	46594	16116
743	46653	16052
744	46728	15994
745	46783	15929
746	46852	15868
747	46910	15804
748	46987	15746
749	47045	15681
750	47105	15618
751	47192	15563
752	47251	15499
753	47318	15438
754	47372	15372
755	47427	15307
756	47491	15244
757	47553	15181
758	47619	15120
759	47719	15069
760	47795	15010
761	47850	14945
762	47912	14882
763	47972	14818
764	48033	14755
765	48086	14689
766	48136	14622
767	48217	14565
768	48268	14499
769	48329	14436
770	48394	14374
771	48487	14320
772	48573	14264
773	48648	14204
774	48740	14150
